elec,office,county,dist,jID,n_dr,open,row_id_R,row_id_D,cand_R,cand_D,incumbency_R,incumbency_D,hits_R,hits_D,money_R,money_D,Rmoneyadv,Rnewsadv
2014-11-04,HOU,,98,2014-11-04_HOU_98,2,0,336,335,Chris Murphy,Rebekah Patrick,1,0,131,11,69836,826,4.436114539240725,2.3978952727983702
2014-11-04,CCD,Edgefield,3,2014-11-04_CCD_Edgefield_3,2,0,337,338,Dean Campbell,Michael John Key,1,0,77,1,1300,0,7.170888478512505,3.6635616461296463
2014-11-04,CCD,Edgefield,5,2014-11-04_CCD_Edgefield_5,2,0,339,340,Genia Blackwell,Mack A Thomas,1,0,33,2,160,0,5.081404364984463,2.4277482359480516
2014-11-04,AUD,Florence,,,,,342,341,Betty B Dowling,H Wayne Joye,,,18,24,,,,-0.2744368457017603
2014-11-04,HOU,,61,2014-11-04_HOU_61,2,1,343,344,Raleigh O Ward,Roger K Kirby,0,0,18,24,12100,42132.26,-1.247549358720887,-0.2744368457017603
2014-11-04,HOU,,22,2014-11-04_HOU_22,2,0,345,346,Wendy Nanney,Dan Ruck,1,0,53,0,13774.14,,,3.9889840465642745
2014-11-04,HOU,,20,2014-11-04_HOU_20,2,0,347,348,Dan Hamilton,Jon Eames,1,0,41,1,50694.97,687.53,4.29904280903633,3.044522437723423
2014-11-04,CCD,Greenville,26,2014-11-04_CCD_Greenville_26,2,0,349,350,Lynn W Ballard,Windell Rodgers,1,0,15,8,0,6855,-8.832879460277615,0.5753641449035616
2014-11-04,HOU,,12,2014-11-04_HOU_12,2,0,352,351,Tony Wideman,Anne Parks,0,1,11,57,2015,15788.63,-2.058238045231634,-1.5755363607584187
2014-11-04,CCD,Horry,7,2014-11-04_CCD_Horry_7,2,0,353,354,Mike Roberts,James R Frazier,0,1,23,198,12225,3250,1.3246021902847644,-2.1152509943765465
2014-11-04,CCD,Horry,1,2014-11-04_CCD_Horry_1,2,0,356,355,Harold Worley,Roberta Kuntz,1,0,200,3,0,0,0,3.917010546939185
2014-11-04,JPR,Kershaw,,2014-11-04_JPRB_Kershaw,2,1,359,357,Debbie Branham,David Reuwer,0,0,0,0,16022.9,8630,0.6187209844674815,0
2014-11-04,CCD,Kershaw,5,2014-11-04_CCD_Kershaw_5,2,1,358,360,Dennis G Arledge,Jimmy Jimbo Crissman,0,0,1,0,4525,3200,0.3463752862236209,0.6931471805599453
2014-11-04,CCD,Kershaw,6,2014-11-04_CCD_Kershaw_6,2,0,362,361,Tom Gardner,Thomas Gordon,1,0,6,3,1599.9999999999998,395,1.3969695017422339,0.5596157879354227
2014-11-04,JPR,Lancaster,,2014-11-04_JPRB_Lancaster,2,0,363,364,Jerry L Holt,Sandy Estridge,0,1,103,24,0,3380.9999999999995,-8.126222529458525,1.425515074273172
2014-11-04,CCD,Lancaster,4,2014-11-04_CCD_Lancaster_4,2,0,365,366,John W Hess,Larry Honeycutt,0,1,22,321,3229.26,5493.2,-0.5311303610085787,-2.639057329615259
